Date, Open, High, Low, Close, Volume
12/12/22, 362.28, 366.68, 361.58, 366.68, 2937750
12/09/22, 363.00, 365.4402, 361.3403, 361.52, 4271355
12/08/22, 363.13, 365.15, 361.60, 364.18, 3604516
12/07/22, 361.05, 363.61, 360.31, 361.33, 3337977
12/06/22, 367.09, 367.61, 359.931, 362.03, 3911040
12/05/22, 371.28, 372.19, 365.99, 367.34, 3706993
12/02/22, 369.66, 374.88, 369.66, 374.00, 3595984
12/01/22, 375.87, 377.00, 372.05, 374.54, 4608628
11/30/22, 363.45, 374.59, 361.65, 374.49, 4748832
11/29/22, 363.93, 365.18, 361.48, 363.31, 2507770
11/28/22, 366.86, 368.38, 363.15, 363.95, 3557001
11/25/22, 369.39, 370.34, 369.06, 369.80, 1423444
11/23/22, 367.21, 370.3599, 367.0225, 369.84, 2590859
11/22/22, 364.51, 367.68, 363.21, 367.54, 2315964
11/21/22, 362.77, 363.7386, 360.87, 362.71, 2397875
11/18/22, 365.46, 365.59, 361.23, 363.99, 2574370
11/17/22, 358.80, 362.99, 358.565, 362.39, 3284424
11/16/22, 364.70, 365.52, 362.85, 363.44, 2755123
11/15/22, 368.65, 369.742, 362.59, 366.22, 4597800
11/14/22, 364.57, 367.79, 362.89, 363.22, 5274312
11/11/22, 363.69, 367.02, 361.74, 366.16, 4877385
11/10/22, 356.52, 363.01, 354.41, 362.69, 4603632
11/09/22, 349.08, 350.22, 343.3581, 343.87, 3570793
11/08/22, 350.21, 353.87, 347.08, 351.04, 3237196
11/07/22, 347.06, 349.71, 345.10, 349.14, 3316597
11/04/22, 346.41, 348.02, 340.00, 345.82, 3655444
11/03/22, 341.34, 343.81, 338.90, 340.83, 4534774
11/02/22, 352.78, 357.125, 344.41, 344.50, 5022535
11/01/22, 358.53, 358.765, 352.29, 353.52, 8014279
10/31/22, 355.16, 356.92, 354.05, 354.95, 6430961
10/28/22, 349.04, 357.98, 348.95, 357.38, 4388078
10/27/22, 352.05, 353.79, 348.595, 349.23, 4145263
10/26/22, 350.70, 356.17, 350.44, 351.11, 4277708
10/25/22, 348.05, 354.03, 348.03, 353.75, 5203396
10/24/22, 345.45, 349.23, 342.87, 348.09, 5639417
10/21/22, 335.50, 344.3905, 334.13, 343.90, 4362430
10/20/22, 338.17, 342.42, 335.05, 335.83, 3459059
10/19/22, 339.04, 341.67, 335.90, 338.61, 4403233
10/18/22, 344.68, 345.00, 337.765, 340.97, 4903278
10/17/22, 334.57, 338.10, 334.46, 337.00, 3889516
10/14/22, 338.62, 340.19, 328.025, 328.65, 4883998
10/13/22, 320.84, 337.675, 319.87, 336.22, 6396891
10/12/22, 329.15, 330.58, 327.44, 327.64, 3235062
10/11/22, 329.20, 333.56, 326.85, 328.66, 4968108
10/10/22, 334.47, 334.67, 328.66, 330.84, 3933860
10/07/22, 339.08, 339.34, 331.65, 333.33, 5168076
10/06/22, 345.18, 347.98, 342.49, 342.96, 3879612
10/05/22, 343.12, 348.64, 340.86, 346.61, 4755772
10/04/22, 342.14, 347.33, 342.13, 347.21, 5109957
10/03/22, 331.79, 338.66, 330.10, 336.98, 5738997
09/30/22, 332.57, 336.19, 328.12, 328.30, 7736631
09/29/22, 337.15, 337.30, 330.53, 333.38, 7230121
09/28/22, 334.80, 342.10, 333.18, 340.48, 8683949
09/27/22, 339.79, 341.84, 333.08, 335.39, 5795659
09/26/22, 338.23, 341.66, 335.07, 336.34, 5405686
09/23/22, 342.08, 342.08, 335.31, 339.63, 10491490
09/22/22, 347.55, 348.54, 344.67, 345.37, 5555622
09/21/22, 356.38, 359.30, 348.31, 348.31, 5102402
09/20/22, 355.38, 356.38, 351.8332, 354.55, 3623962
09/19/22, 352.80, 358.59, 352.75, 358.59, 3412645
09/16/22, 354.56, 356.48, 352.69, 355.86, 4452268
09/15/22, 361.16, 363.97, 357.40, 358.68, 3807460
09/14/22, 362.58, 364.17, 359.53, 362.73, 3555510
