Date,CASH AMOUNT
12/13/2022, 0.09
11/10/2022, 0.09
10/13/2022, 0.09
09/14/2022, 0.10
08/11/2022, 0.10
07/14/2022, 0.10
06/13/2022, 0.10
05/12/2022, 0.10
04/13/2022, 0.10
03/11/2022, 0.10
02/11/2022, 0.10
01/07/2022, 0.13
11/12/2021, 0.09
10/13/2021, 0.09
09/14/2021, 0.09
08/12/2021, 0.09
07/14/2021, 0.09
06/11/2021, 0.09
05/13/2021, 0.09
04/13/2021, 0.09
03/11/2021, 0.08
02/11/2021, 0.08
01/08/2021, 0.08
11/12/2020, 0.08
10/13/2020, 0.08
09/14/2020, 0.08
08/13/2020, 0.08
07/14/2020, 0.08
06/11/2020, 0.08
05/13/2020, 0.08
04/14/2020, 0.08
03/12/2020, 0.12
02/13/2020, 0.12
01/08/2020, 0.12
11/13/2019, 0.12
10/11/2019, 0.12
09/13/2019, 0.13
08/13/2019, 0.13
07/12/2019, 0.13
06/13/2019, 0.14
05/13/2019, 0.14
04/11/2019, 0.14
03/13/2019, 0.14
02/13/2019, 0.14
12/28/2018, 0.14
11/13/2018, 0.14
10/11/2018, 0.14
09/14/2018, 0.14
08/13/2018, 0.14
07/13/2018, 0.14
06/13/2018, 0.13
05/11/2018, 0.13
04/12/2018, 0.12
03/13/2018, 0.12
02/13/2018, 0.12
01/09/2018, 0.12
11/10/2017, 0.12
10/11/2017, 0.12
09/13/2017, 0.12
08/10/2017, 0.12
07/13/2017, 0.12
06/12/2017, 0.12
05/10/2017, 0.12
04/12/2017, 0.12
03/10/2017, 0.12
02/10/2017, 0.12
01/06/2017, 0.12
12/12/2016, 0.12
11/10/2016, 0.12
10/12/2016, 0.12
09/13/2016, 0.12
08/10/2016, 0.12
07/13/2016, 0.12
06/10/2016, 0.12
05/11/2016, 0.12
04/12/2016, 0.12
03/10/2016, 0.12
02/10/2016, 0.12
01/08/2016, 0.12
12/10/2015, 0.12
11/12/2015, 0.12
10/13/2015, 0.12
09/11/2015, 0.12
08/12/2015, 0.12
07/13/2015, 0.12
06/10/2015, 0.12
05/12/2015, 0.12
04/13/2015, 0.12
03/11/2015, 0.12
02/11/2015, 0.12
01/08/2015, 0.12
12/10/2014, 0.12
11/12/2014, 0.12
10/10/2014, 0.12
09/11/2014, 0.12
08/12/2014, 0.12
07/11/2014, 0.12
06/11/2014, 0.12
05/12/2014, 0.12
04/10/2014, 0.12
03/12/2014, 0.12
02/12/2014, 0.12
01/08/2014, 0.12
12/11/2013, 0.12
11/12/2013, 0.12
10/10/2013, 0.13
09/12/2013, 0.13
08/01/2013, 0.14
