Date,CASH AMOUNT
11/25/2022, 0.14
10/28/2022, 0.14
09/23/2022, 0.14
08/31/2022, 0.14
07/22/2022, 0.14
06/30/2022, 0.14
05/31/2022, 0.14
04/29/2022, 0.14
03/31/2022, 0.15
02/28/2022, 0.14
01/31/2022, 0.14
12/31/2021, 0.14
11/30/2021, 0.13
10/29/2021, 0.13
09/30/2021, 0.13
08/31/2021, 0.13
07/30/2021, 0.11
06/30/2021, 0.12
05/28/2021, 0.11
04/30/2021, 0.13
03/31/2021, 0.14
02/26/2021, 0.15
01/29/2021, 0.15
12/31/2020, 0.15
11/30/2020, 0.15
10/30/2020, 0.15
09/30/2020, 0.15
08/31/2020, 0.15
07/31/2020, 0.15
06/30/2020, 0.15
05/29/2020, 0.16
04/30/2020, 0.16
03/31/2020, 0.16
02/28/2020, 0.16
01/31/2020, 0.16
12/31/2019, 0.16
11/29/2019, 0.16
10/31/2019, 0.15
09/30/2019, 0.15
08/30/2019, 0.15
07/31/2019, 0.15
06/28/2019, 0.15
05/31/2019, 0.15
04/30/2019, 0.15
03/29/2019, 0.14
02/28/2019, 0.14
01/31/2019, 0.14
12/31/2018, 0.15
11/30/2018, 0.14
10/31/2018, 0.14
09/28/2018, 0.14
08/31/2018, 0.14
07/31/2018, 0.14
06/29/2018, 0.14
05/31/2018, 0.14
04/30/2018, 0.14
03/29/2018, 0.14
02/28/2018, 0.15
01/31/2018, 0.14
12/29/2017, 0.12
11/30/2017, 0.13
10/31/2017, 0.10
09/29/2017, 0.10
08/31/2017, 0.10
07/31/2017, 0.10
06/30/2017, 0.10
05/31/2017, 0.10
04/28/2017, 0.12
03/31/2017, 0.12
02/28/2017, 0.13
01/31/2017, 0.12
12/30/2016, 0.25
11/30/2016, 0.12
10/31/2016, 0.12
09/30/2016, 0.12
08/31/2016, 0.11
07/29/2016, 0.11
06/30/2016, 0.11
05/31/2016, 0.11
04/29/2016, 0.12
03/31/2016, 0.12
02/29/2016, 0.11
01/29/2016, 0.11
12/31/2015, 0.10
11/30/2015, 0.10
10/30/2015, 0.11
09/30/2015, 0.10
08/31/2015, 0.09
07/31/2015, 0.10
06/30/2015, 0.10
05/29/2015, 0.09
04/30/2015, 0.09
03/31/2015, 0.10
02/27/2015, 0.10
01/30/2015, 0.09
12/31/2014, 0.09
11/28/2014, 0.09
10/31/2014, 0.09
09/30/2014, 0.09
08/29/2014, 0.09
07/31/2014, 0.09
06/30/2014, 0.09
05/30/2014, 0.08
04/30/2014, 0.09
03/31/2014, 0.09
02/28/2014, 0.09
01/31/2014, 0.09
12/31/2013, 0.10
11/29/2013, 0.09
10/31/2013, 0.09
09/30/2013, 0.09
08/30/2013, 0.08
