Date,CASH AMOUNT
10/03/2022, 1.47
07/05/2022, 1.43
03/29/2022, 1.37
12/27/2021, 1.53
10/04/2021, 1.31
07/02/2021, 1.33
03/31/2021, 1.26
12/28/2020, 1.38
10/02/2020, 1.31
07/02/2020, 1.43
03/13/2020, 1.18
12/27/2019, 1.43
10/01/2019, 1.30
07/02/2019, 1.39
03/26/2019, 1.46
12/20/2018, 1.29
10/01/2018, 1.21
07/03/2018, 1.16
03/29/2018, 1.08
12/29/2017, 1.18
09/25/2017, 1.18
06/29/2017, 1.01
03/28/2017, 1.00
12/29/2016, 1.30
09/19/2016, 0.88
06/27/2016, 0.95
03/28/2016, 1.01
12/28/2015, 1.09
09/25/2015, 0.95
06/26/2015, 0.90
03/27/2015, 0.98
12/24/2014, 1.03
09/26/2014, 0.88
06/27/2014, 0.81
03/28/2014, 0.78
12/24/2013, 0.91
09/23/2013, 0.79
06/28/2013, 0.37
